Data Size,Slowstart,Avg Total Time (s),Std Dev (s),Num Runs
1500MB,0.05,115.42,17.74,3
1500MB,0.1,112.03,15.75,3
1500MB,0.2,121.22,8.98,3
1500MB,0.3,111.27,15.32,3
1500MB,0.5,97.2,8.14,3
1500MB,0.7,96.82,6.15,3
1500MB,0.8,100.41,9.29,3
1500MB,0.9,94.69,1.07,3
1500MB,1.0,102.65,9.9,3
1GB,0.05,69.48,6.57,3
1GB,0.1,69.47,2.58,3
1GB,0.2,67.96,1.24,3
1GB,0.3,66.49,1.5,3
1GB,0.5,66.12,0.53,3
1GB,0.7,71.2,1.51,3
1GB,0.8,71.26,0.73,3
1GB,0.9,73.75,3.27,3
1GB,1.0,72.6,1.06,3
500MB,0.05,52.89,12.46,3
500MB,0.1,50.52,14.37,3
500MB,0.2,65.73,0.2,3
500MB,0.3,54.65,10.09,3
500MB,0.5,65.22,0.48,3
500MB,0.7,63.13,13.92,3
500MB,0.8,53.86,19.94,3
500MB,0.9,55.67,16.3,3
500MB,1.0,57.02,14.64,3
