Data Size,Slowstart,Avg Total Time (s),Avg Map Completion (s),Avg Reduce Start (s),Avg Reduce Complete (s),Avg Shuffle Time (s),Avg CPU Time (s),Avg Memory (MB)
1500MB,0.05,115.42,113.55,34.45,115.38,71.71,677.98,16255.75
1500MB,0.1,112.03,110.37,35.23,111.98,66.87,678.86,16547.03
1500MB,0.2,121.22,119.79,36.38,121.19,73.8,714.48,16642.51
1500MB,0.3,111.27,109.59,49.87,111.22,54.28,693.4,16543.58
1500MB,0.5,97.2,95.73,65.1,97.18,29.67,689.91,16640.16
1500MB,0.7,96.82,94.86,68.73,96.79,26.5,694.4,16435.38
1500MB,0.8,100.41,98.63,75.91,100.32,23.07,690.62,16528.97
1500MB,0.9,94.69,89.81,87.61,94.66,4.79,684.25,16764.34
1500MB,1.0,102.65,93.86,96.64,102.63,3.92,681.45,16463.71
1GB,0.05,69.48,67.92,34.17,69.43,32.24,466.22,11292.88
1GB,0.1,69.47,67.94,32.69,69.44,32.83,475.25,11174.42
1GB,0.2,67.96,66.6,35.38,67.94,28.08,480.98,11278.85
1GB,0.3,66.49,64.99,35.74,66.45,23.53,457.26,11493.13
1GB,0.5,66.12,64.58,36.43,66.09,22.3,470.06,11238.32
1GB,0.7,71.2,63.89,64.46,71.18,4.99,450.62,11395.82
1GB,0.8,71.26,62.62,62.55,71.22,5.23,447.81,11192.76
1GB,0.9,73.75,63.65,65.32,73.7,5.07,444.18,11234.61
1GB,1.0,72.6,64.08,66.49,72.57,3.93,449.66,11326.65
500MB,0.05,52.89,49.32,29.26,52.86,21.08,235.15,6066.1
500MB,0.1,50.52,44.27,27.29,50.49,19.3,222.17,6108.18
500MB,0.2,65.73,64.14,29.3,65.7,34.86,251.29,6038.84
500MB,0.3,54.65,53.14,35.86,54.61,17.48,246.44,6020.1
500MB,0.5,65.22,63.79,34.64,65.2,29.51,250.05,5940.26
500MB,0.7,63.13,58.39,55.46,63.1,5.9,245.92,6094.36
500MB,0.8,53.86,44.09,45.37,53.82,5.16,228.54,6084.19
500MB,0.9,55.67,47.06,49.68,55.64,3.88,230.61,6049.41
500MB,1.0,57.02,48.24,50.86,56.98,3.97,232.23,6053.59
