Slowstart,Run,Total Time (s),Map Complete (s),Min Reduce (s),Avg Reduce (s),Max Reduce (s),Reduce Stddev (s)
0.05,1,56.32,54.05,16.95,25.08,30.64,5.66
0.05,2,56.11,54.06,17.92,24.97,29.52,4.83
0.05,3,56.08,54.1,18.05,25.02,29.8,5.2
0.1,1,56.05,53.74,11.61,24.03,32.18,6.93
0.1,2,55.97,53.77,11.57,24.26,32.47,6.82
0.1,3,56.37,54.51,14.63,24.95,32.0,5.96
0.2,1,45.85,43.64,7.03,14.62,17.86,4.44
0.2,2,55.69,53.48,13.58,24.01,28.67,6.29
0.2,3,55.41,53.29,15.84,23.76,28.8,5.25
0.3,1,56.05,53.87,12.37,24.14,27.67,5.49
0.3,2,56.27,54.47,13.78,23.96,27.86,5.7
0.3,3,56.29,54.06,12.65,24.22,27.98,5.48
0.5,1,46.9,44.77,7.07,13.14,16.96,4.36
0.5,2,56.19,53.98,18.77,23.58,26.5,3.2
0.5,3,56.09,54.11,14.51,23.75,28.61,5.72
0.7,1,56.18,54.13,13.24,14.41,15.74,0.9
0.7,2,53.39,46.53,7.43,10.31,14.52,2.69
0.7,3,59.53,53.7,9.14,16.5,19.14,3.58
0.8,1,54.76,46.08,7.43,9.59,14.03,2.69
0.8,2,67.82,53.74,4.2,8.52,13.45,3.54
0.8,3,75.91,54.3,4.4,10.72,20.39,7.66
0.9,1,68.53,53.02,5.23,7.39,12.92,3.28
0.9,2,57.5,42.14,5.37,7.91,13.62,3.55
0.9,3,57.36,41.85,4.36,8.4,13.54,3.56
1.0,1,59.6,41.99,5.42,7.7,13.79,3.67
1.0,2,70.15,53.44,5.27,7.29,12.51,3.12
1.0,3,69.16,53.05,5.25,7.39,12.57,3.1
